VPD_MAX,flux
-0.001,2.5e-07
-0.0065991599159916,1.207070707070707e-06
-0.011798379837983798,2.164141414141414e-06
-0.016997599759976,3.121212121212121e-06
-0.0221968196819682,4.078282828282828e-06
-0.0273960396039604,5.035353535353535e-06
-0.032595259525952595,5.992424242424242e-06
-0.0377944794479448,6.949494949494949e-06
-0.0433936393639364,7.906565656565655e-06
-0.048592859285928595,8.863636363636361e-06
-0.0537920792079208,9.82070707070707e-06
-0.058991299129912994,1.0777777777777776e-05
-0.06419051905190519,1.1734848484848482e-05
-0.0693897389738974,1.269191919191919e-05
-0.0745889588958896,1.3648989898989897e-05
-0.08018811881188119,1.4606060606060605e-05
-0.0853873387338734,1.556313131313131e-05
-0.0905865586558656,1.6520202020202017e-05
-0.09578577857785779,1.7477272727272724e-05
-0.10098499849984999,1.8434343434343433e-05
-0.1061842184218422,1.939141414141414e-05
-0.11138343834383439,2.0348484848484846e-05
-0.11698259825982599,2.1305555555555552e-05
-0.1221818181818182,2.226262626262626e-05
-0.12738103810381038,2.3219696969696965e-05
-0.1325802580258026,2.4176767676767675e-05
-0.1377794779477948,2.513383838383838e-05
-0.14297869786978698,2.6090909090909088e-05
-0.1481779177917792,2.7047979797979794e-05
-0.1537770777077708,2.80050505050505e-05
-0.15897629762976298,2.896212121212121e-05
-0.1641755175517552,2.9919191919191916e-05
-0.1693747374737474,3.087626262626262e-05
-0.17457395739573958,3.183333333333333e-05
-0.1797731773177318,3.2790404040404035e-05
-0.18497239723972397,3.3747474747474745e-05
-0.19057155715571558,3.470454545454545e-05
-0.1957707770777078,3.566161616161616e-05
-0.20096999699969997,3.661868686868687e-05
-0.20616921692169218,3.757575757575757e-05
-0.2113684368436844,3.853282828282828e-05
-0.21656765676567657,3.948989898989898e-05
-0.22176687668766878,4.044696969696969e-05
-0.2273660366036604,4.14040404040404e-05
-0.23256525652565258,4.2361111111111106e-05
-0.23776447644764478,4.3318181818181815e-05
-0.242963696369637,4.427525252525252e-05
-0.24816291629162918,4.523232323232323e-05
-0.25336213621362136,4.618939393939393e-05
-0.2585613561356136,4.714646464646464e-05
-0.2641605160516052,4.810353535353535e-05
-0.26935973597359736,4.906060606060605e-05
-0.2745589558955896,5.001767676767676e-05
-0.2797581758175818,5.0974747474747466e-05
-0.28495739573957396,5.1931818181818176e-05
-0.2901566156615662,5.2888888888888885e-05
-0.2953558355835584,5.384595959595959e-05
-0.30095499549954996,5.48030303030303e-05
-0.3061542154215422,5.5760101010101e-05
-0.3113534353435344,5.671717171717171e-05
-0.31655265526552656,5.767424242424242e-05
-0.3217518751875188,5.8631313131313124e-05
-0.326951095109511,5.958838383838383e-05
-0.33215031503150316,6.0545454545454536e-05
-0.3377494749474948,6.150252525252525e-05
-0.342948694869487,6.245959595959596e-05
-0.34814791479147916,6.341666666666667e-05
-0.3533471347134714,6.437373737373738e-05
-0.3585463546354636,6.533080808080808e-05
-0.36374557455745576,6.628787878787878e-05
-0.36894479447944795,6.72449494949495e-05
-0.3745439543954396,6.82020202020202e-05
-0.37974317431743176,6.91590909090909e-05
-0.38494239423942395,7.011616161616162e-05
-0.3901416141614162,7.107323232323232e-05
-0.39534083408340837,7.203030303030303e-05
-0.40054005400540055,7.298737373737374e-05
-0.4057392739273928,7.394444444444445e-05
-0.41133843384338437,7.490151515151515e-05
-0.41653765376537655,7.585858585858585e-05
-0.4217368736873688,7.681565656565657e-05
-0.42693609360936097,7.777272727272727e-05
-0.43213531353135315,7.872979797979797e-05
-0.4373345334533454,7.968686868686869e-05
-0.44253375337533757,8.064393939393939e-05
-0.44813291329132915,8.16010101010101e-05
-0.4533321332133214,8.255808080808081e-05
-0.45853135313531357,8.351515151515152e-05
-0.46373057305730575,8.447222222222222e-05
-0.468929792979298,8.542929292929292e-05
-0.47412901290129017,8.638636363636364e-05
-0.47932823282328235,8.734343434343434e-05
-0.484927392739274,8.830050505050504e-05
-0.49012661266126617,8.925757575757576e-05
-0.49532583258325835,9.021464646464646e-05
-0.5005250525052505,9.117171717171717e-05
-0.5057242724272427,9.212878787878787e-05
-0.510923492349235,9.308585858585859e-05
-0.5161227122712272,9.404292929292929e-05
-0.5217218721872188,9.5e-05
